Dados da Avaliação
-359.39101461410627
-125.06314544344716
-150.8984995566187
-153.78931253687583
-408.3619492420648
-241.637867375254
-209.2865681136988
-346.21667280684403
-168.00706963091204
-165.5673009179508
Dados da Avaliação
-394.12745836863786
-199.9524239734464
-45.569613214387964
-304.0617998185134
-5.7190101748407045
-205.50366838544792
-287.74307961925854
-58.70411330168833
-240.30726643713535
-225.95833241175745
Dados da Avaliação
-341.43284779924636
-292.11663285829076
-308.6744834452884
-243.34288247338213
-232.95951156790943
-151.06058276888004
27.49660018202843
-351.6552000431019
-136.81315600176507
-29.409559652809207
Dados da Avaliação
-255.0198366859691
-156.92741441014266
-177.9634705911813
-453.509701173489
-368.30832271019494
-197.52923178600383
-229.42818093437734
-84.52268993996599
-156.142158750942
-259.3107133489832
Dados da Avaliação
-290.5693156011949
-48.73960484990049
-506.5430331001365
-331.2277956904305
-365.7535551732298
-336.90272348763256
-203.98003339440695
-85.59088841998732
245.52184006450548
-375.1782159594102
